Feature	Gain	Cover	Frequency
cliente_antiguedad/cproductos	0.00856351340631242	0.00800380662113505	0.0116779220779221
mcuentas_saldo_delta2_-_mtarjeta_master_consumo_lag1	0.00855998134206425	0.00774655798697386	0.0120623376623377
chomebanking_transacciones	0.00845104737914844	0.00664148385454784	0.0112103896103896
cproductos_delta2	0.00844044864536568	0.00814765239697291	0.00292987012987013
mrentabilidad_lag2	0.00830935778199487	0.00949686557733437	0.0123116883116883
ctrx_quarter_delta1	0.00814707504692986	0.00579031613033788	0.0114701298701299
cliente_edad/cpayroll_trx	0.00813800265603328	0.00350316981991327	0.00116363636363636
Visa_fechaalta_lag1	0.00791708610408715	0.00686646391138206	0.0113766233766234
chomebanking_transacciones_delta2	0.00784816564932144	0.00784372820864469	0.0116571428571429
mrentabilidad_delta2/cproductos	0.00779193034268728	0.00693998645944887	0.0101298701298701
mcomisiones_lag2/ccomisiones_mantenimiento	0.00776497292176735	0.00719126677564801	0.00928831168831169
chomebanking_transacciones_lag1	0.00772365856463988	0.00682869507223668	0.0125818181818182
cdescubierto_preacordado	0.00753167471063176	0.0144960199050549	0.00257662337662338
mpasivos_margen/kmes	0.00730271923232148	0.00716559353489062	0.0106077922077922
cliente_antiguedad/ccomisiones_mantenimiento	0.00714980365862039	0.00847161950404241	0.0105974025974026
cliente_antiguedad/ctrx_quarter	0.00712620910836205	0.00700913593407753	0.0108051948051948
mcuentas_saldo_lag2	0.00704298105462812	0.0103164856751899	0.0111168831168831
mcomisiones_delta2/cliente_edad	0.00701046458715633	0.00776934100111525	0.0102337662337662
cliente_edad_+_cproductos	0.00688300157686848	0.00769435086020008	0.0102961038961039
kmes/cliente_edad	0.0068519728323895	0.00784033138953016	0.0113974025974026
kmes_-_cliente_edad	0.00678814789587362	0.00933186655403025	0.0113350649350649
mprestamos_personales_delta2	0.00677104335997698	0.0152084984994144	0.00491428571428571
Visa_mpagominimo_lag2	0.00672299727823566	0.012565273058535	0.00965194805194805
mrentabilidad_delta1/ccomisiones_mantenimiento	0.00666123846242299	0.0130379993266896	0.00992207792207792
cproductos_-_cliente_edad	0.00662886093332377	0.0102272507312615	0.0096
mrentabilidad_delta2	0.00662882953204097	0.00944675787906083	0.0101818181818182
chomebanking_transacciones_delta1	0.00661835508211269	0.00844031594126889	0.0109090909090909
mrentabilidad_annual_lag2/ccomisiones_mantenimiento	0.00660269550384362	0.00669185568742045	0.00850909090909091
mpayroll_sobre_edad	0.00655914684630043	0.00943253154138427	0.00215064935064935
ctarjeta_visa_transacciones_lag2	0.00653393208605145	0.00688539248719471	0.0078025974025974
Visa_mpagominimo_delta1	0.00652467120775751	0.0104657538372957	0.00926753246753247
Master_status	0.00637406200655849	0.00926976923234465	0.00283636363636364
kmes/ctrx_quarter	0.00636251227897776	0.0060038621295429	0.0101506493506494
mpasivos_margen_lag2	0.00629613604932063	0.00936370400588701	0.00978701298701299
ctarjeta_visa_transacciones_lag1	0.00626882247874265	0.00691703404591416	0.00731428571428571
cliente_antiguedad_+_ctrx_quarter	0.00621332144877015	0.00702326271950398	0.00865454545454545
mcaja_ahorro_lag2/cliente_antiguedad	0.00615907645500353	0.00780520229069406	0.00865454545454545
mpasivos_margen_delta1	0.00600500528501795	0.00576854630119355	0.0103792207792208
mcaja_ahorro_delta2/cproductos	0.0059664896281175	0.00567435542145939	0.00850909090909091
ctrx_quarter/cliente_antiguedad	0.00594838689473277	0.0063585724165587	0.0084987012987013
Master_mpagominimo	0.00591473043051183	0.0174552747667392	0.00681558441558442
cliente_edad_+_cpayroll_trx	0.00576936319107088	0.00756949066186647	0.00889350649350649
mpasivos_margen_lag1	0.00556275509156756	0.00552590695973554	0.00952727272727273
ccomisiones_mantenimiento_+_cliente_edad	0.00541644640032002	0.00578066759048479	0.00785454545454545
mpasivos_margen_lag1/cproductos	0.0053896539767596	0.00534805445639747	0.0083012987012987
cproductos_delta1	0.00537995408955896	0.00630037609796398	0.00208831168831169
cproductos/ccomisiones_mantenimiento	0.00529439442452038	0.0109526341874614	0.00652467532467532
cproductos/ctrx_quarter	0.00523357029706158	0.0058418801816896	0.00876883116883117
cliente_antiguedad/cpayroll_trx	0.00517987774465203	0.00542228671566666	0.00155844155844156
mcaja_ahorro_lag2	0.00514667530488565	0.0084219943130456	0.00787532467532468
mcaja_ahorro_lag1	0.00510062194188533	0.00647113791200411	0.00845714285714286
ctrx_quarter_lag2	0.00500526315822163	0.0063504773735117	0.00844675324675325
mcaja_ahorro_delta2/ccomisiones_mantenimiento	0.00487468058721572	0.00474818711940482	0.00749090909090909
kmes_+_cliente_antiguedad	0.00465193847299777	0.00597553228882096	0.00708571428571429
ccomisiones_mantenimiento_-_cliente_antiguedad	0.00461308687378123	0.00570926855614001	0.00641038961038961
cproductos_+_cliente_edad	0.00450180853671548	0.00594159059141961	0.00686753246753247
kmes_+_ctrx_quarter	0.0044971686255559	0.0018643535241059	0.00207792207792208
ctrx_quarter_+_cliente_edad	0.004295574549785	0.00424555021713751	0.00582857142857143
mtarjeta_visa_consumo_delta2	0.00427598937345595	0.00608505903211593	0.00641038961038961
kmes_+_cpayroll_trx	0.00427510808405416	0.00213534036878184	0.004
mprestamos_personales_lag1	0.00423236216286597	0.0133689407111517	0.00443636363636364
ctrx_quarter_-_cliente_edad	0.00407116925618388	0.00540878694884773	0.00607792207792208
cpayroll_trx_+_cliente_antiguedad	0.00403248594140398	0.00593678398398904	0.0062961038961039
ccomisiones_mantenimiento_-_kmes	0.00391743127084368	0.00239358853964773	0.00316883116883117
Visa_mpagominimo_delta2	0.0038769023621997	0.00692805544340986	0.00652467532467532
cpayroll_trx_-_cliente_antiguedad	0.00386255197657581	0.00317023899613052	0.00514285714285714
ccomisiones_mantenimiento/cliente_antiguedad	0.00383578974749806	0.00393824125230565	0.00561038961038961
cproductos/cpayroll_trx	0.00377169707421167	0.00981902950413177	0.00134025974025974
Visa_mpagominimo_delta2/kmes	0.00369249602593171	0.00462496792751652	0.00566233766233766
cliente_antiguedad_+_cliente_antiguedad	0.00360921027386634	0.0042032405108421	0.00531948051948052
ctrx_quarter_lag1	0.00338157619316146	0.00466792954048199	0.00511168831168831
ccallcenter_transacciones_delta2	0.0030231125691825	0.00877586643434276	0.00336623376623377
kmes_-_ccomisiones_mantenimiento	0.00273647783765964	0.00446510628202236	0.00422857142857143
